ele,state,pollster_sponsor,dates,sample,moe,d,r
2020,Nat.,result,,,,50.8,47.5
2020,Nat.,Economist/YouGov,10/31 - 11/2,1363 LV,3.3,53,43
2020,Nat.,IBD/TIPP*,10/29 - 11/2,1212 LV,3.2,50,46
2020,Nat.,Reuters/Ipsos,10/29 - 11/2,914 LV,3.7,52,45
2020,Nat.,CNBC/Change Research (D),10/29 - 11/1,1880 LV,2.3,52,42
2020,Nat.,Rasmussen Reports,10/28 - 11/1,1500 LV,2.5,48,47
2020,Nat.,Quinnipiac,10/28 - 11/1,1516 LV,2.5,50,39
2020,Nat.,JTN/RMG Research*,10/29 - 10/31,1200 LV,2.8,51,44
2020,Nat.,NBC News/Wall St. Jrnl,10/29 - 10/31,1000 RV,3.4,52,42
2020,Nat.,SurveyUSA,10/29 - 10/31,1265 LV,3.2,52,44
2020,Nat.,FOX News,10/27 - 10/29,1246 LV,2.5,52,44
2020,Nat.,Harvard-Harris,10/27 - 10/28,,,54,46
2020,Nat.,The Hill/HarrisX,10/25 - 10/28,2359 LV,2,49,45
2020,Nat.,Emerson,10/25 - 10/26,1121 LV,2.8,50,45
2020,FL,result,,,,47.9,51.2
2020,FL,FOX 35/InsiderAdvantage*,11/2 - 11/2,400 LV,4.4,47,48
2020,FL,Trafalgar Group (R)*,10/31 - 11/2,1003 LV,2.9,47,49
2020,FL,CNBC/Change Research (D),10/29 - 11/1,806 LV,--,51,48
2020,FL,Susquehanna*,10/29 - 11/1,400 LV,4.9,46,47
2020,FL,Rasmussen Reports,10/29 - 10/31,800 LV,3.5,48,47
2020,FL,Quinnipiac,10/28 - 11/1,1657 LV,2.4,47,42
2020,FL,St. Pete Polls,10/29 - 10/30,2758 LV,1.9,49,48
2020,NC,result,,,,48.7,50.1
2020,NC,InsiderAdvantage*,10/30 - 10/31,450 LV,4.6,48,44
2020,NC,CNBC/Change Research (D),10/29 - 11/1,473 LV,--,47,49
2020,NC,Emerson,10/29 - 10/30,855 LV,3.3,47,47
2020,NC,Reuters/Ipsos,10/27 - 11/1,707 LV,4,48,49
2020,NC,Rasmussen Reports,10/28 - 10/29,800 LV,3.5,48,47
2020,NC,Trafalgar Group (R)*,10/27 - 10/29,1082 LV,2.9,49,47
2020,NC,The Hill/HarrisX,10/26 - 10/29,901 LV,--,48,49
2020,NC,East Carolina U.,10/27 - 10/28,1103 LV,3.4,47,49
2020,MI,result,,,,50.6,47.9
2020,MI,Trafalgar Group (R)*,10/30 - 10/31,1033 LV,2.9,46,48
2020,MI,InsiderAdvantage*,10/30 - 10/31,500 LV,4.4,49,47
2020,MI,CNBC/Change Research (D),10/29 - 11/1,383 LV,--,51,44
2020,MI,Emerson,10/29 - 10/30,700 LV,3.4,52,45
2020,MI,Mitchell Research*,10/29 - 10/29,817 LV,3.4,52,45
2020,WI,result,,,,49.6,48.9
2020,WI,CNBC/Change Research (D),10/29 - 11/1,553 LV,--,53,45
2020,WI,Susquehanna*,10/29 - 10/31,450 LV,4.7,49,46
2020,WI,Emerson,10/29 - 10/30,751 LV,3.5,53,45
2020,WI,Reuters/Ipsos*,10/27 - 11/1,696 LV,4.2,53,43
2020,WI,NY Times/Siena*,10/26 - 10/30,1253 LV,3.2,52,41
2020,WI,Trafalgar Group (R)*,10/24 - 10/25,1082 LV,2.9,48,47
2020,WI,CNN*,10/23 - 10/30,873 LV,3.9,52,44
2020,WI,Marquette*,10/21 - 10/25,749 LV,4.4,48,43
2020,GA,result,,,,49.5,49.2
2020,GA,WSB-TV/Landmark*,11/1 - 11/1,500 LV,4.4,50,46
2020,GA,Trafalgar Group (R)*,10/31 - 11/2,1013 LV,2.9,50,45
2020,GA,InsiderAdvantage*,11/1 - 11/1,500 LV,4.4,48,46
2020,GA,Emerson,10/29 - 10/31,749 LV,3.5,49,48
2020,GA,PPP (D),10/27 - 10/28,661 LV,3.8,46,48
2020,GA,Monmouth*,10/23 - 10/27,504 LV,4.4,46,50
2020,AZ,result,,,,49.4,49.1
2020,AZ,NBC News/Marist,10/29 - 11/1,717 LV,4.5,48,48
2020,AZ,CNBC/Change Research (D),10/29 - 11/1,409 LV,--,50,47
2020,AZ,Reuters/Ipsos,10/27 - 11/1,610 LV,5,49,47
2020,AZ,Emerson,10/29 - 10/31,732 LV,3.6,48,46
2020,AZ,Rasmussen Reports,10/27 - 10/29,800 LV,3.5,45,49
2020,AZ,NY Times/Siena*,10/26 - 10/30,1252 LV,3,49,43
2020,AZ,Trafalgar Group (R)*,10/25 - 10/28,1002 LV,3,46,49
2020,OH,result,,,,45.2,53.4
2020,OH,Rasmussen Reports,10/31 - 11/1,800 LV,3.5,49,45
2020,OH,Trafalgar Group (R)*,10/30 - 10/31,1041 LV,2.9,49,44
2020,OH,Quinnipiac,10/28 - 11/1,1440 LV,2.6,43,47
2020,OH,Emerson,10/29 - 10/30,656 LV,3.8,48,49
